0.000: (step3 step1) [1800.000]
0.000: (step22 step2) [1200.000]
0.000: (step17 step3) [900.000]
0.000: (step16 step4) [600.000]
0.000: (step14 step5) [600.000]
0.000: (step8 step6) [3600.000]
0.000: (step5 step7) [300.000]
0.000: (step2 step9) [300.000]
0.000: (step2 step8) [300.000]
0.000: (step2 step30) [300.000]
0.000: (step2 step29) [300.000]
0.000: (step2 step28) [300.000]
0.000: (step2 step27) [300.000]
0.000: (step2 step26) [300.000]
0.000: (step2 step25) [300.000]
0.000: (step2 step24) [300.000]
0.000: (step2 step23) [300.000]
0.000: (step2 step22) [300.000]
0.000: (step2 step21) [300.000]
0.000: (step2 step20) [300.000]
0.000: (step2 step19) [300.000]
0.000: (step2 step18) [300.000]
0.000: (step2 step17) [300.000]
600.001: (step26 step10) [604800.000]
900.001: (step15 step11) [300.000]
1800.001: (step27 step13) [2700.000]
3600.001: (step7 step14) [30.000]
3630.002: (step1 step15) [600.000]
4230.003: (step30 step16) [120.000]
