0.000: (do_step6 step1) [3600.000]
0.000: (do_step12 step9) [1200.000]
0.000: (do_step12 step8) [1200.000]
0.000: (do_step12 step7) [1200.000]
0.000: (do_step12 step6) [1200.000]
0.000: (do_step12 step5) [1200.000]
0.000: (do_step12 step4) [1200.000]
0.000: (do_step12 step3) [1200.000]
0.000: (do_step12 step20) [1200.000]
0.000: (do_step12 step2) [1200.000]
0.000: (do_step12 step19) [1200.000]
0.000: (do_step12 step18) [1200.000]
0.000: (do_step12 step17) [1200.000]
0.000: (do_step12 step16) [1200.000]
0.000: (do_step12 step15) [1200.000]
0.000: (do_step12 step14) [1200.000]
0.000: (do_step12 step13) [1200.000]
0.000: (do_step12 step12) [1200.000]
0.000: (do_step12 step11) [1200.000]
3600.001: (do_step15 step10) [18000.000]
