0.000: (do_step17 step1) [86400.000]
0.000: (do_step5 step9) [600.000]
0.000: (do_step5 step8) [600.000]
0.000: (do_step5 step7) [600.000]
0.000: (do_step5 step6) [600.000]
0.000: (do_step5 step5) [600.000]
0.000: (do_step5 step4) [600.000]
0.000: (do_step5 step3) [600.000]
0.000: (do_step5 step20) [600.000]
0.000: (do_step5 step2) [600.000]
0.000: (do_step5 step19) [600.000]
0.000: (do_step5 step18) [600.000]
0.000: (do_step5 step17) [600.000]
0.000: (do_step5 step16) [600.000]
0.000: (do_step5 step15) [600.000]
0.000: (do_step5 step14) [600.000]
0.000: (do_step5 step13) [600.000]
86400.001: (do_step3 step10) [7200.000]
93600.002: (do_step1 step11) [900.000]
94500.003: (do_step11 step12) [3600.000]
