0.000: (do_step8 step1) [900.000]
0.000: (do_step32 step2) [300.000]
0.000: (do_step23 step3) [1800.000]
0.000: (do_step3 step9) [300.000]
0.000: (do_step3 step8) [300.000]
0.000: (do_step3 step7) [300.000]
0.000: (do_step3 step6) [300.000]
0.000: (do_step3 step5) [300.000]
0.000: (do_step3 step40) [300.000]
0.000: (do_step3 step4) [300.000]
0.000: (do_step3 step39) [300.000]
0.000: (do_step3 step38) [300.000]
0.000: (do_step3 step37) [300.000]
0.000: (do_step3 step36) [300.000]
0.000: (do_step3 step35) [300.000]
0.000: (do_step3 step34) [300.000]
0.000: (do_step3 step33) [300.000]
0.000: (do_step3 step32) [300.000]
0.000: (do_step3 step31) [300.000]
0.000: (do_step3 step30) [300.000]
0.000: (do_step3 step29) [300.000]
0.000: (do_step3 step28) [300.000]
0.000: (do_step3 step27) [300.000]
0.000: (do_step3 step26) [300.000]
0.000: (do_step3 step25) [300.000]
0.000: (do_step3 step24) [300.000]
0.000: (do_step3 step23) [300.000]
0.000: (do_step3 step22) [300.000]
0.000: (do_step3 step21) [300.000]
0.000: (do_step3 step20) [300.000]
0.000: (do_step3 step19) [300.000]
0.000: (do_step3 step18) [300.000]
0.000: (do_step3 step17) [300.000]
0.000: (do_step3 step16) [300.000]
0.000: (do_step3 step15) [300.000]
300.001: (do_step12 step11) [1200.000]
1500.002: (do_step7 step12) [1800.000]
1800.001: (do_step37 step10) [1200.000]
3000.002: (do_step21 step13) [300.000]
3300.003: (do_step31 step14) [345600.000]
