0.000: (do_step3 step1) [604800.000]
0.000: (do_step2 step9) [1800.000]
0.000: (do_step2 step8) [1800.000]
0.000: (do_step2 step7) [1800.000]
0.000: (do_step2 step6) [1800.000]
0.000: (do_step2 step5) [1800.000]
0.000: (do_step2 step4) [1800.000]
0.000: (do_step2 step3) [1800.000]
0.000: (do_step2 step2) [1800.000]
1800.001: (do_step8 step10) [14400.000]
16200.002: (do_step13 step11) [2700.000]
647.000: (do_step15 step13) [1814400.000]
647.000: (do_step6 step14) [1200.000]
647.000: (do_step1 step15) [900.000]
