0.000: (step12 step1) [3.000]
0.000: (step28 step2) [40.000]
0.000: (step16 step3) [15.000]
0.000: (step8 step9) [2.000]
0.000: (step8 step8) [2.000]
0.000: (step8 step7) [2.000]
0.000: (step8 step6) [2.000]
0.000: (step8 step5) [2.000]
0.000: (step8 step4) [2.000]
0.000: (step8 step30) [2.000]
0.000: (step8 step29) [2.000]
0.000: (step8 step28) [2.000]
0.000: (step8 step27) [2.000]
0.000: (step8 step26) [2.000]
0.000: (step8 step25) [2.000]
0.000: (step8 step24) [2.000]
0.000: (step8 step23) [2.000]
0.000: (step8 step22) [2.000]
0.000: (step8 step21) [2.000]
0.000: (step8 step20) [2.000]
0.000: (step8 step19) [2.000]
0.000: (step8 step18) [2.000]
0.000: (step8 step17) [2.000]
2.001: (step18 step12) [5.000]
7.002: (step29 step13) [5.000]
40.001: (step19 step10) [45.000]
85.002: (step22 step11) [5.000]
90.003: (step10 step14) [2.000]
92.004: (step30 step15) [10.000]
102.005: (step9 step16) [900.000]
