0.000: (step19 step1) [3600.000]
0.000: (step22 step9) [60.000]
0.000: (step22 step8) [60.000]
0.000: (step22 step7) [60.000]
0.000: (step22 step6) [60.000]
0.000: (step22 step5) [60.000]
0.000: (step22 step4) [60.000]
0.000: (step22 step30) [60.000]
0.000: (step22 step3) [60.000]
0.000: (step22 step29) [60.000]
0.000: (step22 step28) [60.000]
0.000: (step22 step27) [60.000]
0.000: (step22 step26) [60.000]
0.000: (step22 step25) [60.000]
0.000: (step22 step24) [60.000]
0.000: (step22 step23) [60.000]
0.000: (step22 step22) [60.000]
0.000: (step22 step21) [60.000]
0.000: (step22 step20) [60.000]
0.000: (step22 step2) [60.000]
0.000: (step22 step19) [60.000]
0.000: (step22 step18) [60.000]
0.000: (step22 step17) [60.000]
0.000: (step22 step16) [60.000]
0.000: (step22 step15) [60.000]
0.000: (step22 step14) [60.000]
0.000: (step22 step13) [60.000]
0.000: (step22 step12) [60.000]
3600.001: (step15 step10) [180.000]
3780.002: (step30 step11) [120.000]
