0.000: (do_step5 step1) [3600.000]
0.000: (do_step17 step2) [86400.000]
0.000: (do_step16 step3) [7200.000]
0.000: (do_step18 step9) [600.000]
0.000: (do_step18 step8) [600.000]
0.000: (do_step18 step7) [600.000]
0.000: (do_step18 step6) [600.000]
0.000: (do_step18 step5) [600.000]
0.000: (do_step18 step4) [600.000]
0.000: (do_step18 step20) [600.000]
0.000: (do_step18 step19) [600.000]
0.000: (do_step18 step18) [600.000]
0.000: (do_step18 step17) [600.000]
0.000: (do_step18 step16) [600.000]
0.000: (do_step18 step15) [600.000]
3600.001: (do_step15 step10) [2700.000]
86400.001: (do_step13 step11) [10800.000]
97200.002: (do_step20 step12) [18000.000]
115200.003: (do_step1 step13) [7200.000]
122400.004: (do_step11 step14) [14400.000]
