0.000: (do_step8 step1) [172800.000]
0.000: (do_step15 step9) [900.000]
0.000: (do_step15 step8) [900.000]
0.000: (do_step15 step7) [900.000]
0.000: (do_step15 step6) [900.000]
0.000: (do_step15 step5) [900.000]
0.000: (do_step15 step4) [900.000]
0.000: (do_step15 step3) [900.000]
0.000: (do_step15 step2) [900.000]
0.000: (do_step15 step15) [900.000]
0.000: (do_step15 step14) [900.000]
0.000: (do_step15 step13) [900.000]
172800.001: (do_step12 step10) [2700.000]
175500.002: (do_step4 step11) [259200.000]
434700.003: (do_step11 step12) [14400.000]
