0.000: (do_step5 step1) [480.000]
0.000: (do_step22 step2) [30.000]
0.000: (do_step18 step3) [30.000]
0.000: (do_step9 step4) [60.000]
0.000: (do_step19 step9) [15.000]
0.000: (do_step19 step8) [15.000]
0.000: (do_step19 step7) [15.000]
0.000: (do_step19 step6) [15.000]
0.000: (do_step19 step5) [15.000]
0.000: (do_step19 step30) [15.000]
0.000: (do_step19 step29) [15.000]
0.000: (do_step19 step28) [15.000]
0.000: (do_step19 step27) [15.000]
0.000: (do_step19 step26) [15.000]
0.000: (do_step19 step25) [15.000]
0.000: (do_step19 step24) [15.000]
0.000: (do_step19 step23) [15.000]
0.000: (do_step19 step22) [15.000]
0.000: (do_step19 step21) [15.000]
0.000: (do_step19 step20) [15.000]
0.000: (do_step19 step19) [15.000]
0.000: (do_step19 step18) [15.000]
30.001: (do_step16 step10) [120.000]
480.001: (do_step13 step11) [240.000]
720.002: (do_step28 step12) [300.000]
720.002: (do_step21 step13) [45.000]
720.002: (do_step15 step14) [60.000]
1020.003: (do_step17 step15) [120.000]
1140.004: (do_step23 step16) [10.000]
1150.005: (do_step2 step17) [900.000]
