0.000: (do_step6 step1) [3600.000]
0.000: (do_step20 step9) [300.000]
0.000: (do_step20 step8) [300.000]
0.000: (do_step20 step7) [300.000]
0.000: (do_step20 step6) [300.000]
0.000: (do_step20 step5) [300.000]
0.000: (do_step20 step4) [300.000]
0.000: (do_step20 step3) [300.000]
0.000: (do_step20 step20) [300.000]
0.000: (do_step20 step2) [300.000]
0.000: (do_step20 step19) [300.000]
0.000: (do_step20 step18) [300.000]
0.000: (do_step20 step17) [300.000]
0.000: (do_step20 step16) [300.000]
0.000: (do_step20 step15) [300.000]
0.000: (do_step20 step14) [300.000]
0.000: (do_step20 step13) [300.000]
0.000: (do_step20 step12) [300.000]
0.000: (do_step20 step11) [300.000]
3600.001: (do_step10 step10) [172800.000]
