0.000: (step11 step1) [604800.000]
0.000: (step29 step9) [600.000]
0.000: (step29 step8) [600.000]
0.000: (step29 step7) [600.000]
0.000: (step29 step6) [600.000]
0.000: (step29 step5) [600.000]
0.000: (step29 step40) [600.000]
0.000: (step29 step4) [600.000]
0.000: (step29 step39) [600.000]
0.000: (step29 step38) [600.000]
0.000: (step29 step37) [600.000]
0.000: (step29 step36) [600.000]
0.000: (step29 step35) [600.000]
0.000: (step29 step34) [600.000]
0.000: (step29 step33) [600.000]
0.000: (step29 step32) [600.000]
0.000: (step29 step31) [600.000]
0.000: (step29 step30) [600.000]
0.000: (step29 step3) [600.000]
0.000: (step29 step29) [600.000]
0.000: (step29 step28) [600.000]
0.000: (step29 step27) [600.000]
0.000: (step29 step26) [600.000]
0.000: (step29 step25) [600.000]
0.000: (step29 step24) [600.000]
0.000: (step29 step23) [600.000]
0.000: (step29 step22) [600.000]
0.000: (step29 step21) [600.000]
0.000: (step29 step20) [600.000]
0.000: (step29 step2) [600.000]
0.000: (step29 step19) [600.000]
0.000: (step29 step18) [600.000]
0.000: (step29 step17) [600.000]
0.000: (step29 step16) [600.000]
0.000: (step29 step15) [600.000]
0.000: (step29 step14) [600.000]
0.000: (step29 step13) [600.000]
0.000: (step29 step12) [600.000]
0.000: (step29 step11) [600.000]
604800.001: (step18 step10) [7200.000]
