0.000: (do_step90 step1) [1800.000]
0.000: (do_step56 step90) [300.000]
0.000: (do_step56 step9) [300.000]
0.000: (do_step56 step89) [300.000]
0.000: (do_step56 step88) [300.000]
0.000: (do_step56 step87) [300.000]
0.000: (do_step56 step86) [300.000]
0.000: (do_step56 step85) [300.000]
0.000: (do_step56 step84) [300.000]
0.000: (do_step56 step83) [300.000]
0.000: (do_step56 step82) [300.000]
0.000: (do_step56 step81) [300.000]
0.000: (do_step56 step80) [300.000]
0.000: (do_step56 step8) [300.000]
0.000: (do_step56 step79) [300.000]
0.000: (do_step56 step78) [300.000]
0.000: (do_step56 step77) [300.000]
0.000: (do_step56 step76) [300.000]
0.000: (do_step56 step75) [300.000]
0.000: (do_step56 step74) [300.000]
0.000: (do_step56 step73) [300.000]
0.000: (do_step56 step72) [300.000]
0.000: (do_step56 step71) [300.000]
0.000: (do_step56 step70) [300.000]
0.000: (do_step56 step7) [300.000]
0.000: (do_step56 step69) [300.000]
0.000: (do_step56 step68) [300.000]
0.000: (do_step56 step67) [300.000]
0.000: (do_step56 step66) [300.000]
0.000: (do_step56 step65) [300.000]
0.000: (do_step56 step64) [300.000]
0.000: (do_step56 step63) [300.000]
0.000: (do_step56 step62) [300.000]
0.000: (do_step56 step61) [300.000]
0.000: (do_step56 step60) [300.000]
0.000: (do_step56 step6) [300.000]
0.000: (do_step56 step59) [300.000]
0.000: (do_step56 step58) [300.000]
0.000: (do_step56 step57) [300.000]
0.000: (do_step56 step56) [300.000]
0.000: (do_step56 step55) [300.000]
0.000: (do_step56 step54) [300.000]
0.000: (do_step56 step53) [300.000]
0.000: (do_step56 step52) [300.000]
0.000: (do_step56 step51) [300.000]
0.000: (do_step56 step50) [300.000]
0.000: (do_step56 step5) [300.000]
0.000: (do_step56 step49) [300.000]
0.000: (do_step56 step48) [300.000]
0.000: (do_step56 step47) [300.000]
0.000: (do_step56 step46) [300.000]
0.000: (do_step56 step45) [300.000]
0.000: (do_step56 step44) [300.000]
0.000: (do_step56 step43) [300.000]
0.000: (do_step56 step42) [300.000]
0.000: (do_step56 step41) [300.000]
0.000: (do_step56 step40) [300.000]
0.000: (do_step56 step4) [300.000]
0.000: (do_step56 step39) [300.000]
0.000: (do_step56 step38) [300.000]
0.000: (do_step56 step37) [300.000]
0.000: (do_step56 step36) [300.000]
0.000: (do_step56 step35) [300.000]
0.000: (do_step56 step34) [300.000]
0.000: (do_step56 step33) [300.000]
0.000: (do_step56 step32) [300.000]
0.000: (do_step56 step31) [300.000]
0.000: (do_step56 step30) [300.000]
0.000: (do_step56 step3) [300.000]
0.000: (do_step56 step29) [300.000]
0.000: (do_step56 step28) [300.000]
0.000: (do_step56 step27) [300.000]
0.000: (do_step56 step26) [300.000]
0.000: (do_step56 step25) [300.000]
0.000: (do_step56 step24) [300.000]
0.000: (do_step56 step23) [300.000]
0.000: (do_step56 step22) [300.000]
0.000: (do_step56 step21) [300.000]
0.000: (do_step56 step20) [300.000]
0.000: (do_step56 step2) [300.000]
0.000: (do_step56 step19) [300.000]
0.000: (do_step56 step18) [300.000]
0.000: (do_step56 step17) [300.000]
0.000: (do_step56 step16) [300.000]
0.000: (do_step56 step15) [300.000]
0.000: (do_step56 step14) [300.000]
0.000: (do_step56 step13) [300.000]
0.000: (do_step56 step12) [300.000]
0.000: (do_step56 step11) [300.000]
0.000: (do_step56 step10) [300.000]
