0.000: (do_step12 step1) [1200.000]
0.000: (do_step6 step9) [30.000]
0.000: (do_step6 step8) [30.000]
0.000: (do_step6 step7) [30.000]
0.000: (do_step6 step6) [30.000]
0.000: (do_step6 step5) [30.000]
0.000: (do_step6 step4) [30.000]
0.000: (do_step6 step3) [30.000]
0.000: (do_step6 step20) [30.000]
0.000: (do_step6 step2) [30.000]
0.000: (do_step6 step19) [30.000]
0.000: (do_step6 step18) [30.000]
0.000: (do_step6 step17) [30.000]
0.000: (do_step6 step16) [30.000]
0.000: (do_step6 step15) [30.000]
0.000: (do_step6 step14) [30.000]
0.000: (do_step6 step13) [30.000]
1200.001: (do_step5 step10) [60.000]
1260.002: (do_step3 step11) [60.000]
1320.003: (do_step19 step12) [180.000]
