0.000: (do_step60 step1) [600.000]
0.000: (do_step6 step9) [300.000]
0.000: (do_step6 step8) [300.000]
0.000: (do_step6 step7) [300.000]
0.000: (do_step6 step60) [300.000]
0.000: (do_step6 step6) [300.000]
0.000: (do_step6 step59) [300.000]
0.000: (do_step6 step58) [300.000]
0.000: (do_step6 step57) [300.000]
0.000: (do_step6 step56) [300.000]
0.000: (do_step6 step55) [300.000]
0.000: (do_step6 step54) [300.000]
0.000: (do_step6 step53) [300.000]
0.000: (do_step6 step52) [300.000]
0.000: (do_step6 step51) [300.000]
0.000: (do_step6 step50) [300.000]
0.000: (do_step6 step5) [300.000]
0.000: (do_step6 step49) [300.000]
0.000: (do_step6 step48) [300.000]
0.000: (do_step6 step47) [300.000]
0.000: (do_step6 step46) [300.000]
0.000: (do_step6 step45) [300.000]
0.000: (do_step6 step44) [300.000]
0.000: (do_step6 step43) [300.000]
0.000: (do_step6 step42) [300.000]
0.000: (do_step6 step41) [300.000]
0.000: (do_step6 step40) [300.000]
0.000: (do_step6 step4) [300.000]
0.000: (do_step6 step39) [300.000]
0.000: (do_step6 step38) [300.000]
0.000: (do_step6 step37) [300.000]
0.000: (do_step6 step36) [300.000]
0.000: (do_step6 step35) [300.000]
0.000: (do_step6 step34) [300.000]
0.000: (do_step6 step33) [300.000]
0.000: (do_step6 step32) [300.000]
0.000: (do_step6 step31) [300.000]
0.000: (do_step6 step30) [300.000]
0.000: (do_step6 step3) [300.000]
0.000: (do_step6 step29) [300.000]
0.000: (do_step6 step28) [300.000]
0.000: (do_step6 step27) [300.000]
0.000: (do_step6 step26) [300.000]
0.000: (do_step6 step25) [300.000]
0.000: (do_step6 step24) [300.000]
0.000: (do_step6 step23) [300.000]
0.000: (do_step6 step22) [300.000]
0.000: (do_step6 step21) [300.000]
0.000: (do_step6 step20) [300.000]
0.000: (do_step6 step2) [300.000]
0.000: (do_step6 step19) [300.000]
0.000: (do_step6 step18) [300.000]
0.000: (do_step6 step17) [300.000]
0.000: (do_step6 step16) [300.000]
0.000: (do_step6 step15) [300.000]
0.000: (do_step6 step14) [300.000]
0.000: (do_step6 step13) [300.000]
0.000: (do_step6 step12) [300.000]
0.000: (do_step6 step11) [300.000]
0.000: (do_step6 step10) [300.000]
