0.000: (do_step41 step1) [240.000]
0.000: (do_step14 step9) [15.000]
0.000: (do_step14 step8) [15.000]
0.000: (do_step14 step7) [15.000]
0.000: (do_step14 step6) [15.000]
0.000: (do_step14 step50) [15.000]
0.000: (do_step14 step5) [15.000]
0.000: (do_step14 step49) [15.000]
0.000: (do_step14 step48) [15.000]
0.000: (do_step14 step47) [15.000]
0.000: (do_step14 step46) [15.000]
0.000: (do_step14 step45) [15.000]
0.000: (do_step14 step44) [15.000]
0.000: (do_step14 step43) [15.000]
0.000: (do_step14 step42) [15.000]
0.000: (do_step14 step41) [15.000]
0.000: (do_step14 step40) [15.000]
0.000: (do_step14 step4) [15.000]
0.000: (do_step14 step39) [15.000]
0.000: (do_step14 step38) [15.000]
0.000: (do_step14 step37) [15.000]
0.000: (do_step14 step36) [15.000]
0.000: (do_step14 step35) [15.000]
0.000: (do_step14 step34) [15.000]
0.000: (do_step14 step33) [15.000]
0.000: (do_step14 step32) [15.000]
0.000: (do_step14 step31) [15.000]
0.000: (do_step14 step30) [15.000]
0.000: (do_step14 step3) [15.000]
0.000: (do_step14 step29) [15.000]
0.000: (do_step14 step28) [15.000]
0.000: (do_step14 step27) [15.000]
0.000: (do_step14 step26) [15.000]
0.000: (do_step14 step25) [15.000]
0.000: (do_step14 step24) [15.000]
0.000: (do_step14 step23) [15.000]
0.000: (do_step14 step22) [15.000]
0.000: (do_step14 step21) [15.000]
0.000: (do_step14 step20) [15.000]
0.000: (do_step14 step2) [15.000]
0.000: (do_step14 step19) [15.000]
0.000: (do_step14 step18) [15.000]
0.000: (do_step14 step17) [15.000]
0.000: (do_step14 step16) [15.000]
0.000: (do_step14 step15) [15.000]
0.000: (do_step14 step14) [15.000]
0.000: (do_step14 step13) [15.000]
0.000: (do_step14 step12) [15.000]
0.000: (do_step14 step11) [15.000]
240.001: (do_step50 step10) [480.000]
