0.000: (do_step3 step1) [1800.000]
0.000: (do_step16 step2) [900.000]
0.000: (do_step8 step3) [5400.000]
0.000: (do_step7 step9) [120.000]
0.000: (do_step7 step8) [120.000]
0.000: (do_step7 step7) [120.000]
0.000: (do_step7 step6) [120.000]
0.000: (do_step7 step5) [120.000]
0.000: (do_step7 step4) [120.000]
0.000: (do_step7 step20) [120.000]
0.000: (do_step7 step19) [120.000]
0.000: (do_step7 step18) [120.000]
0.000: (do_step7 step17) [120.000]
0.000: (do_step7 step16) [120.000]
900.001: (do_step12 step10) [300.000]
1200.002: (do_step18 step11) [600.000]
1800.003: (do_step9 step12) [1500.000]
3300.004: (do_step10 step13) [1200.000]
4500.005: (do_step20 step14) [300.000]
5400.001: (do_step19 step15) [2700.000]
