0.000: (step5 step1) [3600.000]
0.000: (step12 step2) [21600.000]
0.000: (step8 step9) [1800.000]
0.000: (step8 step8) [1800.000]
0.000: (step8 step7) [1800.000]
0.000: (step8 step6) [1800.000]
0.000: (step8 step5) [1800.000]
0.000: (step8 step4) [1800.000]
0.000: (step8 step30) [1800.000]
0.000: (step8 step3) [1800.000]
0.000: (step8 step29) [1800.000]
0.000: (step8 step28) [1800.000]
0.000: (step8 step27) [1800.000]
0.000: (step8 step26) [1800.000]
0.000: (step8 step25) [1800.000]
0.000: (step8 step24) [1800.000]
0.000: (step8 step23) [1800.000]
0.000: (step8 step22) [1800.000]
0.000: (step8 step21) [1800.000]
0.000: (step8 step20) [1800.000]
0.000: (step8 step19) [1800.000]
0.000: (step8 step18) [1800.000]
0.000: (step8 step17) [1800.000]
0.000: (step8 step16) [1800.000]
0.000: (step8 step15) [1800.000]
0.000: (step8 step14) [1800.000]
647.000: (step10 step11) [14400.000]
647.000: (step22 step12) [604800.000]
647.000: (step30 step13) [900.000]
