0.000: (do_step13 step1) [180.000]
0.000: (do_step27 step2) [10.000]
0.000: (do_step24 step3) [60.000]
0.000: (do_step8 step9) [5.000]
0.000: (do_step8 step8) [5.000]
0.000: (do_step8 step7) [5.000]
0.000: (do_step8 step6) [5.000]
0.000: (do_step8 step5) [5.000]
0.000: (do_step8 step4) [5.000]
0.000: (do_step8 step30) [5.000]
0.000: (do_step8 step29) [5.000]
0.000: (do_step8 step28) [5.000]
0.000: (do_step8 step27) [5.000]
0.000: (do_step8 step26) [5.000]
0.000: (do_step8 step25) [5.000]
0.000: (do_step8 step24) [5.000]
0.000: (do_step8 step23) [5.000]
0.000: (do_step8 step22) [5.000]
0.000: (do_step8 step21) [5.000]
0.000: (do_step8 step20) [5.000]
0.000: (do_step8 step19) [5.000]
0.000: (do_step8 step18) [5.000]
0.000: (do_step8 step17) [5.000]
0.000: (do_step8 step16) [5.000]
0.000: (do_step8 step15) [5.000]
0.000: (do_step8 step14) [5.000]
180.001: (do_step30 step10) [120.000]
300.002: (do_step18 step11) [5.000]
305.003: (do_step12 step12) [30.000]
335.004: (do_step21 step13) [15.000]
