0.000: (do_step7 step1) [604800.000]
0.000: (do_step8 step9) [1200.000]
0.000: (do_step8 step8) [1200.000]
0.000: (do_step8 step7) [1200.000]
0.000: (do_step8 step6) [1200.000]
0.000: (do_step8 step5) [1200.000]
0.000: (do_step8 step4) [1200.000]
0.000: (do_step8 step30) [1200.000]
0.000: (do_step8 step3) [1200.000]
0.000: (do_step8 step29) [1200.000]
0.000: (do_step8 step28) [1200.000]
0.000: (do_step8 step27) [1200.000]
0.000: (do_step8 step26) [1200.000]
0.000: (do_step8 step25) [1200.000]
0.000: (do_step8 step24) [1200.000]
0.000: (do_step8 step23) [1200.000]
0.000: (do_step8 step22) [1200.000]
0.000: (do_step8 step21) [1200.000]
0.000: (do_step8 step20) [1200.000]
0.000: (do_step8 step2) [1200.000]
0.000: (do_step8 step19) [1200.000]
0.000: (do_step8 step18) [1200.000]
0.000: (do_step8 step17) [1200.000]
0.000: (do_step8 step16) [1200.000]
0.000: (do_step8 step15) [1200.000]
0.000: (do_step8 step14) [1200.000]
0.000: (do_step8 step13) [1200.000]
0.000: (do_step8 step12) [1200.000]
604800.001: (do_step15 step10) [172800.000]
777600.002: (do_step28 step11) [43200.000]
