0.000: (do_step23 step1) [300.000]
0.000: (do_step35 step2) [900.000]
0.000: (do_step11 step9) [30.000]
0.000: (do_step11 step8) [30.000]
0.000: (do_step11 step7) [30.000]
0.000: (do_step11 step6) [30.000]
0.000: (do_step11 step5) [30.000]
0.000: (do_step11 step40) [30.000]
0.000: (do_step11 step4) [30.000]
0.000: (do_step11 step39) [30.000]
0.000: (do_step11 step38) [30.000]
0.000: (do_step11 step37) [30.000]
0.000: (do_step11 step36) [30.000]
0.000: (do_step11 step35) [30.000]
0.000: (do_step11 step34) [30.000]
0.000: (do_step11 step33) [30.000]
0.000: (do_step11 step32) [30.000]
0.000: (do_step11 step31) [30.000]
0.000: (do_step11 step30) [30.000]
0.000: (do_step11 step3) [30.000]
0.000: (do_step11 step29) [30.000]
0.000: (do_step11 step28) [30.000]
0.000: (do_step11 step27) [30.000]
0.000: (do_step11 step26) [30.000]
0.000: (do_step11 step25) [30.000]
0.000: (do_step11 step24) [30.000]
0.000: (do_step11 step23) [30.000]
0.000: (do_step11 step22) [30.000]
0.000: (do_step11 step21) [30.000]
0.000: (do_step11 step20) [30.000]
0.000: (do_step11 step19) [30.000]
0.000: (do_step11 step18) [30.000]
0.000: (do_step11 step17) [30.000]
0.000: (do_step11 step16) [30.000]
0.000: (do_step11 step15) [30.000]
0.000: (do_step11 step14) [30.000]
0.000: (do_step11 step13) [30.000]
0.000: (do_step11 step12) [30.000]
900.001: (do_step32 step10) [43200.000]
44100.002: (do_step40 step11) [60.000]
