0.000: (do_step70 step1) [60.000]
0.000: (do_step7 step9) [15.000]
0.000: (do_step7 step8) [15.000]
0.000: (do_step7 step70) [15.000]
0.000: (do_step7 step7) [15.000]
0.000: (do_step7 step69) [15.000]
0.000: (do_step7 step68) [15.000]
0.000: (do_step7 step67) [15.000]
0.000: (do_step7 step66) [15.000]
0.000: (do_step7 step65) [15.000]
0.000: (do_step7 step64) [15.000]
0.000: (do_step7 step63) [15.000]
0.000: (do_step7 step62) [15.000]
0.000: (do_step7 step61) [15.000]
0.000: (do_step7 step60) [15.000]
0.000: (do_step7 step6) [15.000]
0.000: (do_step7 step59) [15.000]
0.000: (do_step7 step58) [15.000]
0.000: (do_step7 step57) [15.000]
0.000: (do_step7 step56) [15.000]
0.000: (do_step7 step55) [15.000]
0.000: (do_step7 step54) [15.000]
0.000: (do_step7 step53) [15.000]
0.000: (do_step7 step52) [15.000]
0.000: (do_step7 step51) [15.000]
0.000: (do_step7 step50) [15.000]
0.000: (do_step7 step5) [15.000]
0.000: (do_step7 step49) [15.000]
0.000: (do_step7 step48) [15.000]
0.000: (do_step7 step47) [15.000]
0.000: (do_step7 step46) [15.000]
0.000: (do_step7 step45) [15.000]
0.000: (do_step7 step44) [15.000]
0.000: (do_step7 step43) [15.000]
0.000: (do_step7 step42) [15.000]
0.000: (do_step7 step41) [15.000]
0.000: (do_step7 step40) [15.000]
0.000: (do_step7 step4) [15.000]
0.000: (do_step7 step39) [15.000]
0.000: (do_step7 step38) [15.000]
0.000: (do_step7 step37) [15.000]
0.000: (do_step7 step36) [15.000]
0.000: (do_step7 step35) [15.000]
0.000: (do_step7 step34) [15.000]
0.000: (do_step7 step33) [15.000]
0.000: (do_step7 step32) [15.000]
0.000: (do_step7 step31) [15.000]
0.000: (do_step7 step30) [15.000]
0.000: (do_step7 step3) [15.000]
0.000: (do_step7 step29) [15.000]
0.000: (do_step7 step28) [15.000]
0.000: (do_step7 step27) [15.000]
0.000: (do_step7 step26) [15.000]
0.000: (do_step7 step25) [15.000]
0.000: (do_step7 step24) [15.000]
0.000: (do_step7 step23) [15.000]
0.000: (do_step7 step22) [15.000]
0.000: (do_step7 step21) [15.000]
0.000: (do_step7 step20) [15.000]
0.000: (do_step7 step2) [15.000]
0.000: (do_step7 step19) [15.000]
0.000: (do_step7 step18) [15.000]
0.000: (do_step7 step17) [15.000]
0.000: (do_step7 step16) [15.000]
0.000: (do_step7 step15) [15.000]
0.000: (do_step7 step14) [15.000]
0.000: (do_step7 step13) [15.000]
0.000: (do_step7 step12) [15.000]
0.000: (do_step7 step11) [15.000]
0.000: (do_step7 step10) [15.000]
