0.000: (do_step5 step1) [10800.000]
0.000: (do_step37 step2) [86400.000]
0.000: (do_step15 step3) [900.000]
0.000: (do_step23 step9) [300.000]
0.000: (do_step23 step8) [300.000]
0.000: (do_step23 step7) [300.000]
0.000: (do_step23 step6) [300.000]
0.000: (do_step23 step5) [300.000]
0.000: (do_step23 step40) [300.000]
0.000: (do_step23 step4) [300.000]
0.000: (do_step23 step39) [300.000]
0.000: (do_step23 step38) [300.000]
0.000: (do_step23 step37) [300.000]
0.000: (do_step23 step36) [300.000]
0.000: (do_step23 step35) [300.000]
0.000: (do_step23 step34) [300.000]
0.000: (do_step23 step33) [300.000]
0.000: (do_step23 step32) [300.000]
0.000: (do_step23 step31) [300.000]
0.000: (do_step23 step30) [300.000]
0.000: (do_step23 step29) [300.000]
0.000: (do_step23 step28) [300.000]
0.000: (do_step23 step27) [300.000]
0.000: (do_step23 step26) [300.000]
86400.001: (do_step24 step10) [300.000]
86400.001: (do_step20 step11) [1800.000]
86400.001: (do_step17 step12) [7200.000]
88200.002: (do_step19 step13) [2700.000]
90900.003: (do_step8 step14) [1200.000]
92100.004: (do_step27 step15) [600.000]
92700.005: (do_step28 step16) [1200.000]
93600.002: (do_step6 step17) [7200.000]
100800.003: (do_step38 step18) [1800.000]
100800.003: (do_step25 step19) [3600.000]
100800.003: (do_step21 step20) [2400.000]
102600.004: (do_step3 step21) [2700.000]
104400.004: (do_step11 step22) [3600.000]
105300.005: (do_step1 step23) [7200.000]
112500.006: (do_step26 step24) [2700.000]
115200.007: (do_step40 step25) [1200.000]
