0.000: (do_step11 step1) [604800.000]
0.000: (do_step13 step9) [2700.000]
0.000: (do_step13 step8) [2700.000]
0.000: (do_step13 step7) [2700.000]
0.000: (do_step13 step6) [2700.000]
0.000: (do_step13 step5) [2700.000]
0.000: (do_step13 step4) [2700.000]
0.000: (do_step13 step3) [2700.000]
0.000: (do_step13 step20) [2700.000]
0.000: (do_step13 step2) [2700.000]
0.000: (do_step13 step19) [2700.000]
0.000: (do_step13 step18) [2700.000]
0.000: (do_step13 step17) [2700.000]
0.000: (do_step13 step16) [2700.000]
0.000: (do_step13 step15) [2700.000]
0.000: (do_step13 step14) [2700.000]
0.000: (do_step13 step13) [2700.000]
0.000: (do_step13 step12) [2700.000]
604800.001: (do_step19 step10) [259200.000]
864000.002: (do_step15 step11) [7200.000]
