0.000: (do_step2 step1) [180.000]
0.000: (do_step6 step2) [300.000]
0.000: (do_step5 step3) [600.000]
0.000: (do_step14 step9) [120.000]
0.000: (do_step14 step8) [120.000]
0.000: (do_step14 step7) [120.000]
0.000: (do_step14 step6) [120.000]
0.000: (do_step14 step5) [120.000]
0.000: (do_step14 step4) [120.000]
0.000: (do_step14 step15) [120.000]
0.000: (do_step14 step14) [120.000]
600.001: (do_step12 step10) [1500.000]
2100.002: (do_step3 step11) [900.000]
3000.003: (do_step9 step12) [480.000]
3480.004: (do_step7 step13) [120.000]
