0.000: (do_step4 step1) [172800.000]
0.000: (do_step11 step9) [1200.000]
0.000: (do_step15 step2) [3600.000]
1200.001: (do_step1 step10) [2700.000]
1200.001: (do_step5 step14) [600.000]
1200.001: (do_step5 step15) [600.000]
1200.001: (do_step5 step3) [600.000]
1200.001: (do_step5 step4) [600.000]
1200.001: (do_step5 step5) [600.000]
1200.001: (do_step5 step6) [600.000]
1200.001: (do_step5 step7) [600.000]
1200.001: (do_step5 step8) [600.000]
3900.002: (do_step6 step11) [900.000]
4800.003: (do_step13 step12) [345600.000]
350400.004: (do_step12 step13) [600.000]
