0.000: (step2 step1) [120.000]
0.000: (step36 step2) [30.000]
0.000: (step31 step3) [900.000]
0.000: (step28 step4) [600.000]
0.000: (step24 step5) [30.000]
0.000: (step9 step6) [300.000]
0.000: (step10 step9) [30.000]
0.000: (step10 step8) [30.000]
0.000: (step10 step7) [30.000]
0.000: (step10 step40) [30.000]
0.000: (step10 step39) [30.000]
0.000: (step10 step38) [30.000]
0.000: (step10 step37) [30.000]
0.000: (step10 step36) [30.000]
0.000: (step10 step35) [30.000]
0.000: (step10 step34) [30.000]
0.000: (step10 step33) [30.000]
0.000: (step10 step32) [30.000]
0.000: (step10 step31) [30.000]
0.000: (step10 step30) [30.000]
0.000: (step10 step29) [30.000]
0.000: (step10 step28) [30.000]
0.000: (step10 step27) [30.000]
0.000: (step10 step26) [30.000]
0.000: (step10 step25) [30.000]
0.000: (step10 step24) [30.000]
0.000: (step10 step23) [30.000]
0.000: (step10 step22) [30.000]
0.000: (step10 step21) [30.000]
300.001: (step14 step10) [60.000]
900.001: (step7 step11) [3600.000]
900.001: (step1 step12) [600.000]
1500.002: (step15 step13) [180.000]
1680.003: (step30 step14) [300.000]
1980.004: (step6 step15) [480.000]
4500.002: (step21 step16) [240.000]
4740.003: (step26 step17) [180.000]
4920.004: (step34 step18) [1080.000]
6000.005: (step39 step19) [300.000]
6300.006: (step29 step20) [14400.000]
