0.000: (do_step70 step1) [600.000]
0.000: (do_step4 step9) [60.000]
0.000: (do_step4 step8) [60.000]
0.000: (do_step4 step70) [60.000]
0.000: (do_step4 step7) [60.000]
0.000: (do_step4 step69) [60.000]
0.000: (do_step4 step68) [60.000]
0.000: (do_step4 step67) [60.000]
0.000: (do_step4 step66) [60.000]
0.000: (do_step4 step65) [60.000]
0.000: (do_step4 step64) [60.000]
0.000: (do_step4 step63) [60.000]
0.000: (do_step4 step62) [60.000]
0.000: (do_step4 step61) [60.000]
0.000: (do_step4 step60) [60.000]
0.000: (do_step4 step6) [60.000]
0.000: (do_step4 step59) [60.000]
0.000: (do_step4 step58) [60.000]
0.000: (do_step4 step57) [60.000]
0.000: (do_step4 step56) [60.000]
0.000: (do_step4 step55) [60.000]
0.000: (do_step4 step54) [60.000]
0.000: (do_step4 step53) [60.000]
0.000: (do_step4 step52) [60.000]
0.000: (do_step4 step51) [60.000]
0.000: (do_step4 step50) [60.000]
0.000: (do_step4 step5) [60.000]
0.000: (do_step4 step49) [60.000]
0.000: (do_step4 step48) [60.000]
0.000: (do_step4 step47) [60.000]
0.000: (do_step4 step46) [60.000]
0.000: (do_step4 step45) [60.000]
0.000: (do_step4 step44) [60.000]
0.000: (do_step4 step43) [60.000]
0.000: (do_step4 step42) [60.000]
0.000: (do_step4 step41) [60.000]
0.000: (do_step4 step40) [60.000]
0.000: (do_step4 step4) [60.000]
0.000: (do_step4 step39) [60.000]
0.000: (do_step4 step38) [60.000]
0.000: (do_step4 step37) [60.000]
0.000: (do_step4 step36) [60.000]
0.000: (do_step4 step35) [60.000]
0.000: (do_step4 step34) [60.000]
0.000: (do_step4 step33) [60.000]
0.000: (do_step4 step32) [60.000]
0.000: (do_step4 step31) [60.000]
0.000: (do_step4 step30) [60.000]
0.000: (do_step4 step3) [60.000]
0.000: (do_step4 step29) [60.000]
0.000: (do_step4 step28) [60.000]
0.000: (do_step4 step27) [60.000]
0.000: (do_step4 step26) [60.000]
0.000: (do_step4 step25) [60.000]
0.000: (do_step4 step24) [60.000]
0.000: (do_step4 step23) [60.000]
0.000: (do_step4 step22) [60.000]
0.000: (do_step4 step21) [60.000]
0.000: (do_step4 step20) [60.000]
0.000: (do_step4 step2) [60.000]
0.000: (do_step4 step19) [60.000]
0.000: (do_step4 step18) [60.000]
0.000: (do_step4 step17) [60.000]
0.000: (do_step4 step16) [60.000]
0.000: (do_step4 step15) [60.000]
0.000: (do_step4 step14) [60.000]
0.000: (do_step4 step13) [60.000]
0.000: (do_step4 step12) [60.000]
0.000: (do_step4 step11) [60.000]
0.000: (do_step4 step10) [60.000]
