0.000: (do_step20 step1) [259200.000]
0.000: (do_step7 step9) [1800.000]
0.000: (do_step7 step8) [1800.000]
0.000: (do_step7 step7) [1800.000]
0.000: (do_step7 step6) [1800.000]
0.000: (do_step7 step5) [1800.000]
0.000: (do_step7 step4) [1800.000]
0.000: (do_step7 step3) [1800.000]
0.000: (do_step7 step20) [1800.000]
0.000: (do_step7 step2) [1800.000]
0.000: (do_step7 step19) [1800.000]
0.000: (do_step7 step18) [1800.000]
1800.001: (do_step17 step16) [600.000]
259200.001: (do_step11 step10) [300.000]
259500.002: (do_step14 step11) [1800.000]
261300.003: (do_step3 step12) [1200.000]
262500.004: (do_step1 step13) [2700.000]
265200.005: (do_step19 step14) [7200.000]
272400.006: (do_step2 step15) [600.000]
273000.007: (do_step5 step17) [3600.000]
