0.000: (do_step8 step1) [3600.000]
0.000: (do_step2 step9) [300.000]
0.000: (do_step2 step8) [300.000]
0.000: (do_step2 step7) [300.000]
0.000: (do_step2 step6) [300.000]
0.000: (do_step2 step5) [300.000]
0.000: (do_step2 step4) [300.000]
0.000: (do_step2 step30) [300.000]
0.000: (do_step2 step3) [300.000]
0.000: (do_step2 step29) [300.000]
0.000: (do_step2 step28) [300.000]
0.000: (do_step2 step27) [300.000]
0.000: (do_step2 step26) [300.000]
0.000: (do_step2 step25) [300.000]
0.000: (do_step2 step24) [300.000]
0.000: (do_step2 step23) [300.000]
0.000: (do_step2 step22) [300.000]
0.000: (do_step2 step21) [300.000]
0.000: (do_step2 step20) [300.000]
0.000: (do_step2 step2) [300.000]
0.000: (do_step2 step19) [300.000]
0.000: (do_step2 step18) [300.000]
0.000: (do_step2 step17) [300.000]
0.000: (do_step2 step16) [300.000]
0.000: (do_step2 step15) [300.000]
0.000: (do_step2 step14) [300.000]
0.000: (do_step2 step13) [300.000]
3600.001: (do_step7 step10) [30.000]
3630.002: (do_step1 step11) [600.000]
4230.003: (do_step30 step12) [120.000]
