0.000: (step9 step1) [1800.000]
0.000: (step18 step2) [3600.000]
0.000: (step13 step3) [5400.000]
0.000: (step30 step9) [600.000]
0.000: (step30 step8) [600.000]
0.000: (step30 step7) [600.000]
0.000: (step30 step6) [600.000]
0.000: (step30 step5) [600.000]
0.000: (step30 step4) [600.000]
0.000: (step30 step30) [600.000]
0.000: (step30 step29) [600.000]
0.000: (step30 step28) [600.000]
0.000: (step30 step27) [600.000]
0.000: (step30 step26) [600.000]
0.000: (step30 step25) [600.000]
0.000: (step30 step24) [600.000]
0.000: (step30 step23) [600.000]
0.000: (step30 step22) [600.000]
0.000: (step30 step21) [600.000]
0.000: (step30 step20) [600.000]
0.000: (step30 step19) [600.000]
0.000: (step30 step18) [600.000]
0.000: (step30 step17) [600.000]
0.000: (step30 step16) [600.000]
0.000: (step30 step15) [600.000]
0.000: (step30 step14) [600.000]
0.000: (step30 step13) [600.000]
0.000: (step30 step12) [600.000]
0.000: (step30 step11) [600.000]
5400.001: (step21 step10) [432000.000]
